Id,Group,Value
1,Con,0.2189
2,Con,0.1173
3,Con,0.1211
4,Con,0.1718
5,Con,0.1721
6,Con,0.1058
7,Con,0.1759
8,Con,0.1527
9,Con,0.0881
10,Con,0.1295
11,Con,0.1058
12,Con,0.1219
13,Con,0.0662
14,Con,0.0513
15,Con,0.1089
16,Con,0.1363
17,Con,0.0516
18,Con,0.1068
19,Con,0.0756
20,Con,0.0115
21,Con,0.1644
22,Con,0.0573
23,Con,0.0086
24,Con,0.0553
25,Con,0.1024
26,Con,0.1537
27,Con,0.0504
28,Con,0.0135
29,Con,0.0907
30,Con,0.0526
31,Con,0.1099
32,Con,0.094
33,Con,0.0664
34,Con,0.1161
35,Unc,0.1899
36,Unc,0.0458
37,Unc,0.0923
38,Unc,0.139
39,Unc,0.1483
40,Unc,0.0831
41,Unc,0.1449
42,Unc,0.1431
43,Unc,0.0744
44,Unc,0.1073
45,Unc,0.1213
46,Unc,0.0867
47,Unc,0.0749
48,Unc,0.0555
49,Unc,0.0925
50,Unc,0.1167
51,Unc,0.0851
52,Unc,0.1086
53,Unc,0.0991
54,Unc,0.016
55,Unc,0.1243
56,Unc,0.0597
57,Unc,0.026
58,Unc,0.093
59,Unc,0.0787
60,Unc,0.1101
61,Unc,0.0413
62,Unc,0.0164
63,Unc,0.0474
64,Unc,0.0067
65,Unc,0.0584
66,Unc,0.0639
67,Unc,0.0371
68,Unc,0.1366
